Df→
At↴  NOR FIR WAT ELE GRA ICE FIG POI GRO FLY PSY BUG ROC GHO DRA DAR STE
NOR | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | ½ | 0 | 1 | 1 | ½
FIR | 1 | ½ | ½ | 1 | 2 | 2 | 1 | 1 | 1 | 1 | 1 | 2 | ½ | 1 | ½ | 1 | 2
WAT | 1 | 2 | ½ | 1 | ½ | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 1 | ½ | 1 | 1
ELE | 1 | 1 | 2 | ½ | ½ | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 1 | 1 | ½ | 1 | 1
GRA | 1 | ½ | 2 | 1 | ½ | 1 | 1 | ½ | 2 | ½ | 1 | ½ | 2 | 1 | ½ | 1 | ½
ICE | 1 | ½ | ½ | 1 | 2 | ½ | 1 | 1 | 2 | 2 | 1 | 1 | 1 | 1 | 2 | 1 | ½
FIG | 2 | 1 | 1 | 1 | 1 | 2 | 1 | ½ | 1 | ½ | ½ | ½ | 2 | 0 | 1 | 2 | 2
POI | 1 | 1 | 1 | 1 | 2 | 1 | 1 | ½ | ½ | 1 | 1 | 1 | ½ | ½ | 1 | 1 | 0
GRO | 1 | 2 | 1 | 2 | ½ | 1 | 1 | 2 | 1 | 0 | 1 | ½ | 2 | 1 | 1 | 1 | 2
FLY | 1 | 1 | 1 | ½ | 2 | 1 | 2 | 1 | 1 | 1 | 1 | 2 | ½ | 1 | 1 | 1 | ½
PSY | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 1 | ½ | 1 | 1 | 1 | 1 | 0 | ½
BUG | 1 | ½ | 1 | 1 | 2 | 1 | ½ | ½ | 1 | ½ | 2 | 1 | 1 | ½ | 1 | 2 | ½
ROC | 1 | 2 | 1 | 1 | 1 | 2 | ½ | 1 | ½ | 2 | 1 | 2 | 1 | 1 | 1 | 1 | ½
GHO | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | ½ | ½
DRA | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 1 | ½
DAR | 1 | 1 | 1 | 1 | 1 | 1 | ½ | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | ½ | ½
STE | 1 | ½ | ½ | ½ | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | ½
