POKEMON RED, BLUE AND YELLOW ATTACKS LISTING
Move          Type     PP  Power Acc   Effect
Absorb        Grass    20  20    100%  Restores the user's HP by 1/2 of the damage inflicted on the target.
Acid          Poison   30  40    100%  Has a ~10% chance to lower the target's Defense by 1 stage.
Acid Armor    Poison   40  N/A   N/A   Raises the user's Defense by 2 stages.
Agility       Psychic  30  N/A   N/A   Raises the user's Speed by 2 stages.
Amnesia       Psychic  20  N/A   N/A   Raises the user's Special by 2 stages.
Aurora Beam   Ice      20  65    100%  Has a ~10% chance to lower the target's Attack by 1 stage.
Barrage       Normal   20  15    85%   Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Barrier       Psychic  30  N/A   N/A   Raises the user's Defense by 2 stages.
Bide          Normal   10  Var   100%  The user absorbs all damage for 2-3 turns and then inflicts twice the absorbed damage on its target. This move ignores the target's type but still cannot hit Ghost-type Pokemon.
Bind          Normal   20  15    75%   The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.
Bite          Normal   25  60    100%  Has a ~10% chance to make the target flinch.
Blizzard      Ice      5   120   90%   Has a ~10% chance to freeze the target.
Body Slam     Normal   15  85    100%  Has a ~30% chance to paralyze the target.
Bone Club     Ground   20  65    85%   Has a ~10% chance to make the target flinch.
Bonemerang    Ground   10  50    90%   Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.
Bubble        Water    30  20    100%  Has a ~10% chance to lower the target's Speed by 1 stage.
Bubblebeam    Water    20  65    100%  Has a ~10% chance to lower the target's Speed by 1 stage.
Clamp         Water    10  35    75%   The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.
Comet Punch   Normal   15  18    85%   Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Confuse Ray   Ghost    10  N/A   100%  Confuses the target.
Confusion     Psychic  25  50    100%  Has a ~10% chance to confuse the target.
Constrict     Normal   35  10    100%  Has a ~10% chance to lower the target's Speed by 1 stage.
Conversion    Normal   30  N/A   N/A   The user's type changes to match the type of one of its four attacks. This move fails if the user cannot change its type under this condition.
Counter       Fighting 20  Var   100%  Almost always goes last; if an opponent strikes with a Normal- or Fighting-type attack before the user's turn, the user retaliates for twice the damage it had endured.
Crabhammer    Water    10  90    85%   Has a high critical hit ratio.
Cut           Normal   30  50    95%   Damages the target.
Defense Curl  Normal   40  N/A   N/A   Raises the user's Defense by 1 stage.
Dig           Ground   10  100   100%  On the first turn, the user digs underground, becoming uncontrollable, and evades all attacks. Swift may still hit a Pokemon underground. On the second turn, the user attacks.
Disable       Normal   20  N/A   55%   One randomly selected move of the target's cannot be selected for 1-7 turns. Disable only works on one move at a time. The target does nothing if it is about to use a move that becomes disabled.
Dizzy Punch   Normal   10  70    100%  Damages the target.
