t,T_NORMAL,     z,Z_PHYSICAL,  p,-,     d,50,   a,—;
t,T_NORMAL,     z,Z_PHYSICAL,  p,35,    d,40,   a,1;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,25,    d,50,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,10,    d,15,   a,.85;
t,T_NORMAL,     z,Z_PHYSICAL,  p,15,    d,18,   a,.85;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,80,   a,.85;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,40,   a,1;
t,T_FIRE,       z,Z_PHYSICAL,  p,15,    d,75,   a,1;
t,T_ICE,        z,Z_PHYSICAL,  p,15,    d,75,   a,1;
t,T_ELECTRIC,   z,Z_PHYSICAL,  p,15,    d,75,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,35,    d,40,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,30,    d,55,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,5,     d,—,    a,.3;
t,T_NORMAL,     z,Z_SPECIAL,   p,10,    d,80,   a,1;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_NORMAL,     z,Z_PHYSICAL,  p,30,    d,50,   a,.95;
t,T_FLYING,     z,Z_SPECIAL,   p,35,    d,40,   a,1;
t,T_FLYING,     z,Z_PHYSICAL,  p,35,    d,60,   a,1;
t,T_NORMAL,     z,Z_STATUS,    p,20,    d,—,    a,—;
t,T_FLYING,     z,Z_PHYSICAL,  p,15,    d,90,   a,.95;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,15,   a,.85;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,80,   a,.75;
t,T_GRASS,      z,Z_PHYSICAL,  p,25,    d,45,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,20,    d,65,   a,1;
t,T_FIGHTING,   z,Z_PHYSICAL,  p,30,    d,30,   a,1;
t,T_NORMAL,     z,Z_PHYSICAL,  p,5,     d,120,  a,.75;
