1   - 69|7|
2   - 130|10|
3   - 1000|20|
4   - 85|6|
5   - 190|11|
6   - 905|17|
7   - 90|5|
8   - 225|10|
9   - 855|16|
10  - 29|3|
11  - 99|7|
12  - 320|11|
13  - 32|3|
14  - 100|6|
15  - 295|10|
16  - 18|3|
17  - 300|11|
18  - 395|15|
19  - 35|3|
20  - 185|7|
21  - 20|3|
22  - 380|12|
23  - 69|20|
24  - 650|35|
25  - 60|4|
26  - 300|8|
27  - 120|6|
28  - 295|10|
29  - 70|4|
30  - 200|8|
31  - 600|13|
32  - 90|5|
33  - 195|9|
34  - 620|14|
35  - 75|6|
36  - 400|13|
37  - 99|6|
38  - 199|11|
39  - 55|5|
40  - 120|10|
41  - 75|8|
42  - 550|16|
43  - 54|5|
44  - 86|8|
45  - 186|12|
46  - 54|3|
47  - 295|10|
48  - 300|10|
49  - 125|15|
50  - 8|2|
51  - 333|7|
52  - 42|4|
53  - 320|10|
54  - 196|8|
55  - 766|17|
56  - 280|5|
57  - 320|10|
58  - 190|7|
59  - 1550|19|
60  - 124|6|
61  - 200|10|
62  - 540|13|
63  - 195|9|
64  - 565|13|
65  - 480|15|
66  - 195|8|
67  - 705|15|
68  - 1300|16|
69  - 40|7|
70  - 64|10|
71  - 155|17|
72  - 455|9|
73  - 550|16|
74  - 200|4|
75  - 1050|10|
76  - 3000|14|
77  - 300|10|
78  - 950|17|
79  - 360|12|
80  - 785|16|
81  - 60|3|
82  - 600|10|
83  - 150|8|
84  - 392|14|
85  - 852|18|
86  - 900|11|
87  - 1200|17|
88  - 300|9|
89  - 300|12|
90  - 40|3|
91  - 1325|15|
92  - 1|13|
93  - 1|16|
94  - 405|15|
95  - 2100|88|
96  - 324|10|
97  - 756|16|
98  - 65|4|
99  - 600|13|
100 - 104|5|
101 - 666|12|
102 - 25|4|
103 - 1200|20|
104 - 65|4|
105 - 450|10|
106 - 498|15|
107 - 502|14|
108 - 655|12|
109 - 10|6|
110 - 95|12|
111 - 1150|10|
112 - 1200|19|
113 - 346|11|
114 - 350|10|
115 - 800|22|
116 - 80|4|
117 - 250|12|
118 - 150|6|
119 - 390|13|
120 - 345|8|
121 - 800|11|
122 - 545|13|
123 - 560|15|
124 - 406|14|
125 - 300|11|
126 - 445|13|
127 - 550|15|
128 - 884|14|
129 - 100|9|
130 - 2350|65|
131 - 2200|25|
132 - 40|3|
133 - 65|3|
134 - 290|10|
135 - 245|8|
136 - 250|9|
137 - 365|8|
138 - 75|4|
139 - 350|10|
140 - 115|5|
141 - 405|13|
142 - 590|18|
143 - 4600|21|
144 - 554|17|
145 - 526|16|
146 - 600|20|
147 - 33|18|
148 - 165|40|
149 - 2100|22|
150 - 1220|20|
151 - 40|4|
